2026-04-09 13:00:37,design_studio,72:7f:f0:12:cf:83:-70,30:8b:b2:61:de:0f:-70,30:8b:b2:61:de:0a:-71,30:8b:b2:61:de:0b:-71,30:8b:b2:61:de:0e:-71
2026-04-09 13:02:16,design_studio,6c:31:0e:56:e1:25:-44,72:7f:f0:12:cf:83:-55,72:7f:f0:12:cf:80:-55,30:8b:b2:61:de:0a:-55,30:8b:b2:61:de:0b:-55
2026-04-09 13:02:22,design_studio,6c:31:0e:56:e1:25:-40,f8:0b:cb:f3:88:00:-53,6c:31:0e:56:e1:2b:-54,6c:31:0e:56:e1:2a:-54,6c:31:0e:56:e1:2d:-54
2026-04-09 13:02:25,design_studio,6c:31:0e:56:e1:25:-40,f8:0b:cb:f3:88:00:-53,6c:31:0e:56:e1:2b:-54,6c:31:0e:56:e1:2a:-54,6c:31:0e:56:e1:2d:-54
2026-04-09 13:02:27,design_studio,6c:31:0e:56:e1:21:-41,6c:31:0e:56:e1:20:-42,6c:31:0e:56:e1:25:-45,6c:31:0e:56:e1:2b:-54,6c:31:0e:56:e1:2a:-54
2026-04-09 13:02:31,design_studio,6c:31:0e:56:e1:21:-41,6c:31:0e:56:e1:20:-42,6c:31:0e:56:e1:25:-45,6c:31:0e:56:e1:2b:-54,6c:31:0e:56:e1:2a:-54
2026-04-09 13:02:35,design_studio,6c:31:0e:56:e1:25:-47,30:8b:b2:61:de:0a:-53,30:8b:b2:61:de:0b:-53,30:8b:b2:61:de:0e:-53,30:8b:b2:61:de:0f:-53
2026-04-09 13:02:37,design_studio,6c:31:0e:56:e1:25:-47,30:8b:b2:61:de:0a:-53,30:8b:b2:61:de:0b:-53,30:8b:b2:61:de:0e:-53,30:8b:b2:61:de:0f:-53
2026-04-09 13:02:40,design_studio,6c:31:0e:56:e1:25:-47,30:8b:b2:61:de:0a:-53,30:8b:b2:61:de:0b:-53,30:8b:b2:61:de:0e:-53,30:8b:b2:61:de:0f:-53
2026-04-09 13:02:44,design_studio,6c:31:0e:56:e1:20:-43,6c:31:0e:56:e1:25:-44,f8:0b:cb:f3:88:04:-45,f8:0b:cb:f3:88:05:-46,40:01:7a:53:96:85:-55
2026-04-09 13:02:47,design_studio,6c:31:0e:56:e1:20:-43,6c:31:0e:56:e1:25:-44,f8:0b:cb:f3:88:04:-45,f8:0b:cb:f3:88:05:-46,40:01:7a:53:96:85:-55
2026-04-09 13:02:49,design_studio,6c:31:0e:56:e1:22:-48,6c:31:0e:56:e1:23:-48,6c:31:0e:56:e1:20:-49,6c:31:0e:56:e1:21:-49,30:8b:b2:61:de:0a:-49
2026-04-09 13:02:51,design_studio,6c:31:0e:56:e1:22:-48,6c:31:0e:56:e1:23:-48,6c:31:0e:56:e1:20:-49,6c:31:0e:56:e1:21:-49,30:8b:b2:61:de:0a:-49
2026-04-09 13:02:53,design_studio,6c:31:0e:56:e1:22:-48,6c:31:0e:56:e1:23:-48,6c:31:0e:56:e1:20:-49,6c:31:0e:56:e1:21:-49,30:8b:b2:61:de:0a:-49
2026-04-09 13:02:56,design_studio,6c:31:0e:56:e1:25:-43,6c:31:0e:56:e1:24:-51,72:7f:f0:12:cf:83:-55,72:7f:f0:12:cf:80:-57,30:8b:b2:61:de:0a:-62
2026-04-09 13:02:58,design_studio,6c:31:0e:56:e1:25:-43,6c:31:0e:56:e1:24:-51,72:7f:f0:12:cf:83:-55,72:7f:f0:12:cf:80:-57,30:8b:b2:61:de:0a:-62
2026-04-09 13:03:00,design_studio,6c:31:0e:56:e1:25:-43,6c:31:0e:56:e1:24:-51,72:7f:f0:12:cf:83:-55,72:7f:f0:12:cf:80:-57,30:8b:b2:61:de:0a:-62
2026-04-09 13:03:03,design_studio,6c:31:0e:56:e1:25:-44,6c:31:0e:56:e1:24:-45,f8:0b:cb:f3:88:00:-47,f8:0b:cb:f3:88:01:-47,40:01:7a:53:96:80:-56
