x,y,label,timestamp,00:df:1d:62:f9:40,00:df:1d:62:f9:41,00:df:1d:62:f9:42,00:df:1d:62:f9:43,00:df:1d:62:f9:44,00:df:1d:62:f9:45,24:36:da:9d:3c:c4,24:36:da:9d:61:20,24:36:da:9d:61:21,24:36:da:9d:61:23,24:36:da:9d:61:24,24:36:da:9d:61:25,24:36:da:9d:61:26,2e:98:11:8b:1f:9e,30:8b:b2:61:de:00,30:8b:b2:61:de:01,30:8b:b2:61:de:02,30:8b:b2:61:de:03,30:8b:b2:61:de:05,30:8b:b2:61:de:0a,30:8b:b2:61:de:0b,30:8b:b2:61:de:0c,30:8b:b2:61:de:0d,30:8b:b2:61:de:0e,30:8b:b2:61:de:0f,32:13:8b:51:cc:00,40:01:7a:53:96:80,40:01:7a:53:96:81,40:01:7a:53:96:82,40:01:7a:53:96:83,40:01:7a:53:96:84,40:01:7a:53:96:85,40:01:7a:53:96:8a,40:01:7a:53:96:8b,40:01:7a:53:96:8c,40:01:7a:53:96:8d,40:01:7a:53:96:8e,40:01:7a:53:96:8f,40:01:7a:53:97:20,40:01:7a:53:97:21,40:01:7a:53:97:22,40:01:7a:53:97:23,40:01:7a:53:97:24,40:01:7a:53:97:25,40:01:7a:53:97:2a,40:01:7a:53:97:2b,40:01:7a:53:97:2c,40:01:7a:53:97:2d,40:01:7a:53:97:2e,40:01:7a:53:97:2f,40:01:7a:53:97:c0,40:01:7a:53:97:c2,40:01:7a:53:97:c3,40:01:7a:53:97:c4,40:01:7a:53:97:c5,40:01:7a:53:97:ca,40:01:7a:53:97:cb,40:01:7a:53:97:cc,40:01:7a:53:97:cd,40:01:7a:53:97:ce,40:01:7a:53:97:cf,4a:ea:62:7d:97:07,4c:06:17:74:64:89,4c:06:17:74:64:8d,5c:60:ba:2c:29:05,6a:5f:e5:81:6b:47,6c:31:0e:56:e1:20,6c:31:0e:56:e1:21,6c:31:0e:56:e1:22,6c:31:0e:56:e1:23,6c:31:0e:56:e1:24,6c:31:0e:56:e1:25,6c:31:0e:56:e1:2a,6c:31:0e:56:e1:2b,6c:31:0e:56:e1:2c,6c:31:0e:56:e1:2d,6c:31:0e:56:e1:2e,6c:31:0e:56:e1:2f,72:7f:f0:12:cf:80,72:7f:f0:12:cf:83,72:7f:f0:12:cf:84,76:7f:f0:12:cf:81,76:7f:f0:12:cf:84,76:7f:f0:12:cf:85,b0:22:7a:a0:93:da,b8:11:4b:c9:d8:a0,b8:11:4b:c9:d8:a1,b8:11:4b:c9:d8:a2,b8:11:4b:c9:d8:a3,b8:11:4b:c9:d8:a4,b8:11:4b:c9:d8:a5,b8:11:4b:c9:d8:aa,b8:11:4b:c9:d8:ab,b8:11:4b:c9:d8:ac,b8:11:4b:c9:d8:ad,b8:11:4b:c9:d8:af,ba:9d:95:b6:1c:26,c4:0a:cb:2d:aa:41,c4:0a:cb:2d:aa:42,f8:0b:cb:f3:88:00,f8:0b:cb:f3:88:01,f8:0b:cb:f3:88:02,f8:0b:cb:f3:88:03,f8:0b:cb:f3:88:04,f8:0b:cb:f3:88:05,f8:0b:cb:f3:88:0a,f8:0b:cb:f3:88:0b,f8:0b:cb:f3:88:0c,f8:0b:cb:f3:88:0d,f8:0b:cb:f3:88:0e,f8:0b:cb:f3:88:0f
54.0,5.0,Lift / Elevator Area,,-100,-100,-100,-100,-100,-100,-80,-100,-100,-100,-100,-100,-100,-53,-63,-62,-66,-66,-66,-71,-71,-100,-75,-68,-70,-100,-100,-100,-100,-100,-100,-100,-65,-100,-64,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-43,-50,-67,-100,-66,-62,-62,-66,-100,-100,-100,-100,-100,-100,-62,-67,-57,-66,-67,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
5.0,13.0,Design Studio,,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-55,-54,-52,-54,-55,-54,-100,-56,-56,-57,-56,-57,-56,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-44,-44,-43,-46,-48,-45,-56,-54,-55,-55,-53,-54,-58,-57,-53,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-51,-49,-100,-100,-45,-46,-100,-100,-100,-100,-100,-100
10.0,13.0,AID Lab,,-100,-100,-100,-100,-56,-56,-100,-100,-100,-100,-100,-100,-100,-51,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-44,-48,-100,-46,-55,-55,-100,-100,-54,-100,-54,-54,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-40,-37,-35,-33,-31,-36,-42,-43,-42,-38,-41,-43,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-50,-48,-100,-100,-49,-100,-100,-100,-100,-100,-100,-100
10.0,19.0,Discussion Room,,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-51,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-51,-52,-100,-100,-100,-52,-100,-100,-100,-66,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-46,-100,-44,-46,-45,-44,-45,-45,-53,-53,-100,-53,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
22.0,19.0,Discussion Room 2,,-54,-54,-54,-53,-100,-54,-100,-69,-68,-66,-66,-67,-67,-63,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-67,-68,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-49,-56,-56,-56,-57,-57,-56,-55,-54,-54,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
22.0,13.0,CI Lab,,-100,-100,-52,-52,-52,-52,-100,-100,-100,-100,-100,-100,-100,-52,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-37,-35,-100,-100,-36,-35,-46,-43,-44,-45,-45,-38,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-49,-100,-46,-42,-44,-44,-42,-42,-51,-51,-51,-50,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-48,-45,-100,-40,-45,-42,-100,-100,-100,-100,-100,-100
36.0,13.0,MIDAS Lab,,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-48,-100,-100,-100,-100,-44,-100,-100,-59,-59,-59,-100,-46,-46,-46,-46,-46,-46,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-50,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-33,-32,-100,-100,-27,-24,-46,-44,-45,-45,-45,-46
45.0,13.0,HMI Lab,,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-56,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-32,-32,-33,-32,-33,-36,-47,-46,-45,-46,-42,-42,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-57,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-49,-49,-100,-100,-100,-37,-55,-55,-55,-55,-100,-100
54.0,13.0,Washroom,,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-72,-74,-74,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-75,-74,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-60,-61,-61,-60,-61,-57,-69,-69,-69,-68,-70,-100,-100,-100,-74,-100,-71,-100,-100,-72,-100,-100,-100,-100,-100,-100
52.0,9.0,Open Area (Near Lift),,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-53,-56,-54,-51,-55,-54,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-53,-54,-100,-58,-57,-57,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-48,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
