4/9/2026 12:57,lift_area,5c:60:ba:2c:29:05:-43,6c:31:0e:56:e1:25:-51,2e:98:11:8b:1f:9e:-53,40:01:7a:53:96:8c:-64,40:01:7a:53:96:8a:-65
4/9/2026 12:58,lift_area,6a:5f:e5:81:6b:47:-47,6c:31:0e:56:e1:25:-66,30:8b:b2:61:de:0a:-67,30:8b:b2:61:de:0b:-67,30:8b:b2:61:de:0e:-67
4/9/2026 12:58,lift_area,6a:5f:e5:81:6b:47:-38,76:7f:f0:12:cf:81:-67,76:7f:f0:12:cf:84:-67,30:8b:b2:61:de:0a:-69,30:8b:b2:61:de:0b:-69
4/9/2026 12:58,lift_area,6a:5f:e5:81:6b:47:-65,6c:31:0e:56:e1:25:-68,76:7f:f0:12:cf:81:-70,76:7f:f0:12:cf:84:-70,72:7f:f0:12:cf:83:-73
4/9/2026 12:58,lift_area,6c:31:0e:56:e1:25:-69,76:7f:f0:12:cf:84:-71,76:7f:f0:12:cf:81:-71,,
4/9/2026 12:58,lift_area,6c:31:0e:56:e1:25:-69,76:7f:f0:12:cf:84:-71,76:7f:f0:12:cf:81:-71,,
4/9/2026 12:58,lift_area,6c:31:0e:56:e1:25:-67,30:8b:b2:61:de:0a:-70,30:8b:b2:61:de:0b:-70,30:8b:b2:61:de:0e:-70,30:8b:b2:61:de:0f:-70
4/9/2026 12:58,lift_area,6c:31:0e:56:e1:25:-67,30:8b:b2:61:de:0a:-70,30:8b:b2:61:de:0b:-70,30:8b:b2:61:de:0e:-70,30:8b:b2:61:de:0f:-70
4/9/2026 12:58,lift_area,6c:31:0e:56:e1:25:-64,76:7f:f0:12:cf:81:-70,76:7f:f0:12:cf:84:-70,30:8b:b2:61:de:0a:-72,30:8b:b2:61:de:0b:-72
4/9/2026 12:58,lift_area,6c:31:0e:56:e1:25:-64,76:7f:f0:12:cf:81:-70,76:7f:f0:12:cf:84:-70,30:8b:b2:61:de:0a:-72,30:8b:b2:61:de:0b:-72
4/9/2026 12:58,lift_area,76:7f:f0:12:cf:81:-66,30:8b:b2:61:de:0e:-66,76:7f:f0:12:cf:84:-66,6c:31:0e:56:e1:25:-66,30:8b:b2:61:de:0a:-67
4/9/2026 12:58,lift_area,76:7f:f0:12:cf:81:-66,30:8b:b2:61:de:0e:-66,76:7f:f0:12:cf:84:-66,6c:31:0e:56:e1:25:-66,30:8b:b2:61:de:0a:-67
4/9/2026 12:58,lift_area,76:7f:f0:12:cf:81:-66,30:8b:b2:61:de:0e:-66,76:7f:f0:12:cf:84:-66,6c:31:0e:56:e1:25:-66,30:8b:b2:61:de:0a:-67
4/9/2026 12:58,lift_area,76:7f:f0:12:cf:81:-66,72:7f:f0:12:cf:83:-66,76:7f:f0:12:cf:84:-66,72:7f:f0:12:cf:80:-69,6c:31:0e:56:e1:25:-71
4/9/2026 12:59,lift_area,76:7f:f0:12:cf:81:-66,72:7f:f0:12:cf:83:-66,76:7f:f0:12:cf:84:-66,72:7f:f0:12:cf:80:-69,6c:31:0e:56:e1:25:-71
4/9/2026 12:59,lift_area,6c:31:0e:56:e1:25:-64,76:7f:f0:12:cf:81:-69,76:7f:f0:12:cf:84:-69,30:8b:b2:61:de:0a:-75,24:36:da:9d:3c:c4:-80
4/9/2026 12:59,lift_area,6c:31:0e:56:e1:25:-64,76:7f:f0:12:cf:81:-69,76:7f:f0:12:cf:84:-69,30:8b:b2:61:de:0a:-75,24:36:da:9d:3c:c4:-80
4/9/2026 12:59,lift_area,72:7f:f0:12:cf:84:-57,72:7f:f0:12:cf:80:-57,30:8b:b2:61:de:0a:-71,30:8b:b2:61:de:0b:-71,30:8b:b2:61:de:0e:-71
4/9/2026 12:59,lift_area,72:7f:f0:12:cf:84:-57,72:7f:f0:12:cf:80:-57,30:8b:b2:61:de:0a:-71,30:8b:b2:61:de:0b:-71,30:8b:b2:61:de:0e:-71
